,Predicted Class,Class 1 Prob,Class 2 Prob,UNIQUE_ID,Protected
911,0.0,0.5959910802320681,0.404008919767932,245254600,0
1845,0.0,0.5959179370165512,0.40408206298344884,244982113,0
676,0.0,0.5957685519075018,0.40423144809249834,245264514,0
647,0.0,0.5957604977455982,0.4042395022544019,245151114,0
1806,0.0,0.5957534476520343,0.4042465523479659,245001425,0
476,0.0,0.5956207563627374,0.40437924363726274,245225046,0
541,0.0,0.5955343293796799,0.40446567062032024,245196208,0
924,0.0,0.59535105430839,0.4046489456916104,245140727,0
1695,0.0,0.5950029523715115,0.4049970476284885,241808166,0
1570,0.0,0.5948917897885259,0.4051082102114742,245194959,0
497,0.0,0.5946932258296613,0.40530677417033883,245127952,0
20,0.0,0.5944923756437787,0.40550762435622145,244961199,0
1269,0.0,0.5942689661249121,0.40573103387508813,245156732,0
819,0.0,0.5939954863861806,0.40600451361381934,244418625,0
1424,0.0,0.5938611730943621,0.40613882690563785,245174838,0
223,0.0,0.5938441081290508,0.4061558918709494,245216267,0
2091,0.0,0.5937070943629613,0.40629290563703885,245119120,0
216,0.0,0.5935123648958616,0.40648763510413866,243391758,0
1638,0.0,0.593499112210048,0.40650088778995225,245178893,0
1079,0.0,0.5934884531412224,0.40651154685877766,242188546,0
1357,0.0,0.5934146881539393,0.40658531184606084,229966157,0
1018,0.0,0.5930256422462764,0.40697435775372365,244256659,0
1952,0.0,0.5927437148578167,0.4072562851421834,245147024,0
1057,0.0,0.5927375524263703,0.40726244757363006,245091691,0
853,0.0,0.592669336185603,0.407330663814397,245092727,0
1896,0.0,0.5920254595419066,0.40797454045809367,245212741,0
1350,0.0,0.5920015352302364,0.40799846476976376,245121494,0
1341,0.0,0.5919678300282983,0.40803216997170194,245048477,0
1696,0.0,0.5918598584270048,0.4081401415729954,235895677,0
756,0.0,0.5917078699842467,0.4082921300157534,245242204,0
889,0.0,0.5916402114314127,0.40835978856858757,244929932,0
37,0.0,0.5915961046519967,0.4084038953480033,245136772,0
1352,0.0,0.5912227016014812,0.408777298398519,245205218,0
103,0.0,0.5910891387120633,0.40891086128793686,245068278,0
1383,0.0,0.5910818394311275,0.40891816056887254,245107593,0
132,0.0,0.5910767471635201,0.4089232528364801,245222606,0
158,0.0,0.5908057093761354,0.40919429062386486,245133624,0
1037,0.0,0.5906974280273724,0.40930257197262776,245173189,0
717,0.0,0.5905826067601131,0.409417393239887,245085340,0
2082,0.0,0.5905521340532583,0.4094478659467417,245017985,0
1500,0.0,0.5905471852865799,0.4094528147134204,245205747,0
1502,0.0,0.5903159745207145,0.4096840254792855,245037592,0
590,0.0,0.5901792900582077,0.40982070994179237,245078999,0
2235,0.0,0.589958923986684,0.4100410760133159,245078913,0
2212,0.0,0.5898482588634917,0.4101517411365086,233098238,0
1525,0.0,0.589544572954969,0.4104554270450313,245171499,0
837,0.0,0.5894700696693206,0.41052993033067936,245123335,0
202,0.0,0.5894548067047066,0.41054519329529354,125329969,0
204,0.0,0.5893020618156151,0.410697938184385,245274271,0
786,0.0,0.5892999773097719,0.41070002269022815,245140623,0
2108,0.0,0.5892778826802002,0.41072211731979996,245226281,0
1734,0.0,0.5889142486101541,0.41108575138984604,245141179,0
1026,0.0,0.5888226358681514,0.41117736413184885,245187557,0
1347,0.0,0.5887931940014162,0.41120680599858384,245147681,0
303,0.0,0.58878182414174,0.41121817585826015,245139710,0
1051,0.0,0.5886963100573592,0.41130368994264094,245129619,0
1099,0.0,0.5886133105534826,0.4113866894465174,245080503,0
1419,0.0,0.5885586812691486,0.4114413187308516,245133532,0
981,0.0,0.5885368402080597,0.4114631597919404,232300072,0
532,0.0,0.5885241740222434,0.41147582597775667,245041314,0
1602,0.0,0.5881915454884369,0.41180845451156317,245190910,0
1688,0.0,0.5880854169282845,0.4119145830717155,245096597,0
1762,0.0,0.5877775054269709,0.4122224945730292,245085559,0
2228,0.0,0.5876457047924286,0.4123542952075715,245145746,0
2029,0.0,0.5875113683717943,0.41248863162820576,245216795,0
172,0.0,0.5872622300500233,0.4127377699499768,245085652,0
1719,0.0,0.5870350821261237,0.41296491787387635,245028247,0
1162,0.0,0.5865867298376147,0.4134132701623854,245113526,0
962,0.0,0.586264440204705,0.4137355597952949,245086408,0
1276,0.0,0.5859884534973525,0.41401154650264743,245124821,0
1521,0.0,0.5859537094566512,0.41404629054334896,230276302,0
232,0.0,0.5859036068595445,0.41409639314045577,245117360,0
